video_id,title,channel_id,channel_title,category_id,category_name,view_count,like_count,comment_count,publish_time,collection_date
nzBnoBajQGk,PENDAKIAN KEDUA PART 8 - Animasi Sekolah,UCA_fIuIBkjjO5IfK50Iqs7w,Dhot Design,1,Film & Animation,6351299,307320,35892,2025-01-03T13:01:04Z,2024-12-21
I3oAzxmylSg,BILLY AJAK VIKA KETEMU MAMA DAN  BAPAK,UCXfb0tTEMp2wq__vQi76dMw,Billy Syahputra,24,Entertainment,223792,14169,2053,2025-01-04T07:20:42Z,2024-12-21
DiNm53q8Lh0,JUVENTUS-MILAN 1-2 | HIGHLIGHTS | Pulisic Strikes in Rossoneri Comeback | EA SPORTS FC Supercup 2025,UCBJeMCIeLQos7wacox4hmLQ,Serie A,17,Sports,1816106,30388,898,2025-01-03T21:43:17Z,2024-12-21
Kt7TFAQLQWU,NIKITA WILLY’S GENTLE BIRTH STORY ( PENGALAMAN LAHIRAN DI RUMAH ),UCEVbeHvzZluIW261NtIrXIQ,Nikita Willy Official,24,Entertainment,297664,13984,950,2025-01-04T01:18:52Z,2024-12-21
I57iL5kMirg,AKHIRNYA MAK BETI LAHIRAN,UCfx3oPv3cJm2aCJ7UnhKx8A,Arif muhammad,23,Comedy,2605210,75432,6284,2025-01-03T06:06:14Z,2024-12-21
Y4RnaV7gvv4,MAMARI TEMENIN AISAR JALAN “ DIBALI #VLOG 09,UCoXR-WtvjzHcaj6JWd2eL8Q,KeluargaBacil,22,People & Blogs,1131237,84198,24583,2025-01-02T07:16:53Z,2024-12-21
23_NDhiscj8,Game Dinosaurus 2,UC9n3IgleIaFrJrp2hipGQpQ,Topi Sihir Animation,22,People & Blogs,976982,56631,17976,2025-01-02T06:27:50Z,2024-12-21
AtpPkKCgGkk,NGANGGUR 2 - MASDDDHO (Official Music Video),UCrs5dwOBr17aq7vzQZ6GuVg,MASDDDHO,10,Music,220071,15275,2286,2025-01-03T11:30:08Z,2024-12-21
gVIwVFYGqzE,EPISODE 85 | Ambo Nai Anak Jalanan | Timur Kota | Komedi Bugis,UCjIswo364A23e-nrGx0BCbA,Timur Kota Official,23,Comedy,2130506,44599,2899,2025-01-01T08:00:35Z,2024-12-21
nIoSbpwdbSI,"5 HARI BIKIN MARKAS BARU DI ATAS RAWA, BERBURU, CARI IKAN & BUAH DI ALAM KALIMANTAN😅 #bocahpecicilan",UCZrORIjIiBnOx-j9W7iq6tA,Bocah Pecicilan TT,22,People & Blogs,236328,7352,945,2025-01-03T11:30:11Z,2024-12-21
